id,status,category,question,source,source_url,last_verified,review_note
legacy_019_what_are_the_daily_class_timings_and_daily_workload_fo,needs_review,academics,What are the daily class timings and daily workload for a first-year B.Tech student?,,,,Add an official primary source and verify this answer before activation.
legacy_020_what_uniform_and_shoe_requirements_are_there_for_engin,needs_review,general,What uniform and shoe requirements are there for engineering labs?,,,,Add an official primary source and verify this answer before activation.
legacy_021_is_there_an_online_gpa_predictor_or_calculator_for_sas,needs_review,academics,Is there an online GPA predictor or calculator for SASTRA?,,,,Add an official primary source and verify this answer before activation.
legacy_022_what_happens_if_my_attendance_is_below_75_at_sastra,needs_review,academics,What happens if my attendance is below 75% at SASTRA?,,,,Add an official primary source and verify this answer before activation.
legacy_023_what_is_the_etiquette_for_bunking_classes,needs_review,academics,What is the etiquette for bunking classes?,,,,Add an official primary source and verify this answer before activation.
legacy_024_is_a_laptop_compulsory_for_first_year_b_tech_students,needs_review,hostel,Is a laptop compulsory for first-year B.Tech students?,,,,Add an official primary source and verify this answer before activation.
legacy_025_what_is_the_mobile_phone_policy_in_classrooms,needs_review,hostel,What is the mobile phone policy in classrooms?,,,,Add an official primary source and verify this answer before activation.
legacy_026_which_mobile_applications_are_useful_for_sastra_studen,needs_review,general,Which mobile applications are useful for SASTRA students?,,,,Add an official primary source and verify this answer before activation.
legacy_027_where_do_professors_share_study_material_and_how_do_i_,needs_review,hostel,"Where do professors share study material, and how do I access it?",,,,Add an official primary source and verify this answer before activation.
legacy_028_when_do_new_students_get_access_to_the_student_web_int,needs_review,admissions,When do new students get access to the Student Web Interface (SWI)?,,,,Add an official primary source and verify this answer before activation.
legacy_029_what_is_the_format_of_the_official_sastra_student_emai,needs_review,academics,What is the format of the official SASTRA student email ID and password?,,,,Add an official primary source and verify this answer before activation.
legacy_030_what_is_the_academic_bank_of_credits_abc_id_and_how_is,needs_review,finance,What is the Academic Bank of Credits (ABC) ID and how is it created?,,,,Add an official primary source and verify this answer before activation.
legacy_031_how_do_i_set_up_and_activate_my_cub_netbanking_and_atm,needs_review,finance,How do I set up and activate my CUB netbanking and ATM card?,,,,Add an official primary source and verify this answer before activation.
legacy_032_what_are_the_mess_timings_for_breakfast_lunch_snacks_a,needs_review,hostel,"What are the mess timings for breakfast, lunch, snacks, and dinner?",,,,Add an official primary source and verify this answer before activation.
legacy_033_can_i_eat_in_a_different_mess_on_campus,needs_review,hostel,Can I eat in a different mess on campus?,,,,Add an official primary source and verify this answer before activation.
legacy_034_can_day_scholars_bring_non_vegetarian_food_to_campus,needs_review,hostel,Can day scholars bring non-vegetarian food to campus?,,,,Add an official primary source and verify this answer before activation.
legacy_035_what_are_the_guidelines_for_finding_and_doing_internsh,needs_review,general,What are the guidelines for finding and doing internships?,,,,Add an official primary source and verify this answer before activation.
legacy_036_how_can_i_reduce_the_number_of_open_electives_in_my_ei,needs_review,academics,How can I reduce the number of open electives in my eighth semester?,,,,Add an official primary source and verify this answer before activation.
legacy_037_what_is_the_regional_language_distribution_at_sastra_a,needs_review,general,"What is the regional language distribution at SASTRA, and how should I handle language barriers?",,,,Add an official primary source and verify this answer before activation.
legacy_038_how_can_i_borrow_sports_equipment_on_campus,needs_review,campus,How can I borrow sports equipment on campus?,,,,Add an official primary source and verify this answer before activation.
legacy_039_what_is_the_footwear_rule_for_playing_inside_maruti_in,needs_review,general,What is the footwear rule for playing inside Maruti Indoor Stadium?,,,,Add an official primary source and verify this answer before activation.
legacy_040_what_are_the_gym_timings_for_boys_and_girls_on_campus,needs_review,campus,What are the gym timings for boys and girls on campus?,,,,Add an official primary source and verify this answer before activation.
legacy_041_what_are_the_limitations_of_the_hostel_wi_fi,needs_review,hostel,What are the limitations of the hostel Wi-Fi?,,,,Add an official primary source and verify this answer before activation.
legacy_042_where_can_i_pitch_startup_ideas_on_campus,needs_review,campus,Where can I pitch startup ideas on campus?,,,,Add an official primary source and verify this answer before activation.
legacy_043_what_is_the_etiquette_for_returning_or_claiming_lost_i,needs_review,general,What is the etiquette for returning or claiming lost items?,,,,Add an official primary source and verify this answer before activation.
legacy_044_what_is_the_policy_regarding_damage_to_college_propert,needs_review,general,What is the policy regarding damage to college property?,,,,Add an official primary source and verify this answer before activation.
legacy_045_how_can_i_calculate_how_many_classes_i_can_bunk,needs_review,academics,How can I calculate how many classes I can bunk?,,,,Add an official primary source and verify this answer before activation.
legacy_046_is_there_a_map_to_find_class_buildings_or_departments,needs_review,academics,Is there a map to find class buildings or departments?,,,,Add an official primary source and verify this answer before activation.
legacy_047_where_can_i_find_my_exam_seat_and_hall_allocation,needs_review,hostel,Where can I find my exam seat and hall allocation?,,,,Add an official primary source and verify this answer before activation.
legacy_048_what_is_today_s_menu_in_the_hostel_mess,needs_review,hostel,What is today's menu in the hostel mess?,,,,Add an official primary source and verify this answer before activation.
legacy_049_from_what_time_can_i_occupy_my_hostel_room_on_opening_,active,hostel,From what time can I occupy my hostel room on opening day?,Opening Day Instructions for I Year B.Tech./M.Tech. (Intg.) 2026-27 (SASTRA official),https://www.sastra.edu/academic-updates/4640-opening-day-instructions-for-1st-year-b-tech-m-tech-intg-students-admitted-for-the-academic-year-2026-27.html,2026-07-28,Verified against the official 2026-27 opening-day instructions.
legacy_050_when_and_where_will_the_hostel_room_allotment_be_publi,active,hostel,When and where will the hostel room allotment be published?,Opening Day Instructions for I Year B.Tech./M.Tech. (Intg.) 2026-27 (SASTRA official),https://www.sastra.edu/academic-updates/4640-opening-day-instructions-for-1st-year-b-tech-m-tech-intg-students-admitted-for-the-academic-year-2026-27.html,2026-07-28,Verified against the official 2026-27 opening-day instructions.
legacy_051_i_missed_the_online_registration_for_hostel_or_bus_wha,active,hostel,I missed the online registration for hostel or bus. What should I do now?,Opening Day Instructions for I Year B.Tech./M.Tech. (Intg.) 2026-27 (SASTRA official),https://www.sastra.edu/academic-updates/4640-opening-day-instructions-for-1st-year-b-tech-m-tech-intg-students-admitted-for-the-academic-year-2026-27.html,2026-07-28,Verified against the official 2026-27 opening-day instructions.
legacy_052_can_i_request_a_change_of_hostel_room_or_bus_route_rig,active,hostel,Can I request a change of hostel room or bus route right after allotment on opening day?,Opening Day Instructions for I Year B.Tech./M.Tech. (Intg.) 2026-27 (SASTRA official),https://www.sastra.edu/academic-updates/4640-opening-day-instructions-for-1st-year-b-tech-m-tech-intg-students-admitted-for-the-academic-year-2026-27.html,2026-07-28,Verified against the official 2026-27 opening-day instructions.
legacy_053_i_am_the_first_person_to_reach_my_hostel_room_should_i,active,hostel,I am the first person to reach my hostel room. Should I lock it?,Opening Day Instructions for I Year B.Tech./M.Tech. (Intg.) 2026-27 (SASTRA official),https://www.sastra.edu/academic-updates/4640-opening-day-instructions-for-1st-year-b-tech-m-tech-intg-students-admitted-for-the-academic-year-2026-27.html,2026-07-28,Verified against the official 2026-27 opening-day instructions.
legacy_054_when_does_hostel_mess_catering_start_for_the_new_batch,active,hostel,When does hostel mess catering start for the new batch?,Opening Day Instructions for I Year B.Tech./M.Tech. (Intg.) 2026-27 (SASTRA official),https://www.sastra.edu/academic-updates/4640-opening-day-instructions-for-1st-year-b-tech-m-tech-intg-students-admitted-for-the-academic-year-2026-27.html,2026-07-28,Verified against the official 2026-27 opening-day instructions.
legacy_055_until_what_time_can_parents_stay_on_campus_on_the_open,active,hostel,Until what time can parents stay on campus on the opening day?,Opening Day Instructions for I Year B.Tech./M.Tech. (Intg.) 2026-27 (SASTRA official),https://www.sastra.edu/academic-updates/4640-opening-day-instructions-for-1st-year-b-tech-m-tech-intg-students-admitted-for-the-academic-year-2026-27.html,2026-07-28,Verified against the official 2026-27 opening-day instructions.
legacy_056_which_hostels_are_allotted_to_first_year_b_tech_studen,active,hostel,Which hostels are allotted to first-year B.Tech students in 2026-27?,Opening Day Instructions for I Year B.Tech./M.Tech. (Intg.) 2026-27 (SASTRA official),https://www.sastra.edu/academic-updates/4640-opening-day-instructions-for-1st-year-b-tech-m-tech-intg-students-admitted-for-the-academic-year-2026-27.html,2026-07-28,Verified against the official 2026-27 opening-day instructions.
legacy_057_how_do_i_enter_the_campus_on_opening_day_and_where_can,active,admissions,"How do I enter the campus on opening day, and where can vehicles be parked?",Opening Day Instructions for I Year B.Tech./M.Tech. (Intg.) 2026-27 (SASTRA official),https://www.sastra.edu/academic-updates/4640-opening-day-instructions-for-1st-year-b-tech-m-tech-intg-students-admitted-for-the-academic-year-2026-27.html,2026-07-28,Verified against the official 2026-27 opening-day instructions.
legacy_058_is_there_a_safe_way_to_cross_the_highway_near_the_camp,active,campus,Is there a safe way to cross the highway near the campus on foot?,Opening Day Instructions for I Year B.Tech./M.Tech. (Intg.) 2026-27 (SASTRA official),https://www.sastra.edu/academic-updates/4640-opening-day-instructions-for-1st-year-b-tech-m-tech-intg-students-admitted-for-the-academic-year-2026-27.html,2026-07-28,Verified against the official 2026-27 opening-day instructions.
legacy_059_should_i_bring_a_mattress_bucket_and_other_essentials_,active,hostel,"Should I bring a mattress, bucket and other essentials from home?",Opening Day Instructions for I Year B.Tech./M.Tech. (Intg.) 2026-27 (SASTRA official),https://www.sastra.edu/academic-updates/4640-opening-day-instructions-for-1st-year-b-tech-m-tech-intg-students-admitted-for-the-academic-year-2026-27.html,2026-07-28,Verified against the official 2026-27 opening-day instructions.
legacy_060_can_i_order_hostel_essentials_online_and_get_them_deli,active,hostel,Can I order hostel essentials online and get them delivered to my room?,Opening Day Instructions for I Year B.Tech./M.Tech. (Intg.) 2026-27 (SASTRA official),https://www.sastra.edu/academic-updates/4640-opening-day-instructions-for-1st-year-b-tech-m-tech-intg-students-admitted-for-the-academic-year-2026-27.html,2026-07-28,Verified against the official 2026-27 opening-day instructions.
legacy_061_when_is_the_orientation_programme_for_first_year_stude,active,general,When is the orientation programme for first-year students and is it compulsory?,Opening Day Instructions for I Year B.Tech./M.Tech. (Intg.) 2026-27 (SASTRA official),https://www.sastra.edu/academic-updates/4640-opening-day-instructions-for-1st-year-b-tech-m-tech-intg-students-admitted-for-the-academic-year-2026-27.html,2026-07-28,Verified against the official 2026-27 opening-day instructions.
legacy_062_is_there_a_separate_orientation_session_for_parents,needs_review,admissions,Is there a separate orientation session for parents?,,,,Add an official primary source and verify this answer before activation.
legacy_063_are_there_rules_about_hairstyle_on_campus,active,hostel,Are there rules about hairstyle on campus?,Opening Day Instructions for I Year B.Tech./M.Tech. (Intg.) 2026-27 (SASTRA official),https://www.sastra.edu/academic-updates/4640-opening-day-instructions-for-1st-year-b-tech-m-tech-intg-students-admitted-for-the-academic-year-2026-27.html,2026-07-28,Verified against the official 2026-27 opening-day instructions.
legacy_064_when_do_regular_classes_start_and_how_do_i_find_my_sec,active,academics,When do regular classes start and how do I find my section and timetable?,Opening Day Instructions for I Year B.Tech./M.Tech. (Intg.) 2026-27 (SASTRA official),https://www.sastra.edu/academic-updates/4640-opening-day-instructions-for-1st-year-b-tech-m-tech-intg-students-admitted-for-the-academic-year-2026-27.html,2026-07-28,Verified against the official 2026-27 opening-day instructions.
legacy_065_what_should_i_complete_in_the_first_week_to_get_my_stu,active,finance,What should I complete in the first week to get my student ID card?,Opening Day Instructions for I Year B.Tech./M.Tech. (Intg.) 2026-27 (SASTRA official),https://www.sastra.edu/academic-updates/4640-opening-day-instructions-for-1st-year-b-tech-m-tech-intg-students-admitted-for-the-academic-year-2026-27.html,2026-07-28,Verified against the official 2026-27 opening-day instructions.
legacy_066_where_and_when_should_i_submit_my_transfer_certificate,active,admissions,Where and when should I submit my Transfer Certificate (TC)?,Opening Day Instructions for I Year B.Tech./M.Tech. (Intg.) 2026-27 (SASTRA official),https://www.sastra.edu/academic-updates/4640-opening-day-instructions-for-1st-year-b-tech-m-tech-intg-students-admitted-for-the-academic-year-2026-27.html,2026-07-28,Verified against the official 2026-27 opening-day instructions.
legacy_067_who_can_help_me_on_campus_during_the_opening_days_if_i,active,admissions,Who can help me on campus during the opening days if I am confused?,Opening Day Instructions for I Year B.Tech./M.Tech. (Intg.) 2026-27 (SASTRA official),https://www.sastra.edu/academic-updates/4640-opening-day-instructions-for-1st-year-b-tech-m-tech-intg-students-admitted-for-the-academic-year-2026-27.html,2026-07-28,Verified against the official 2026-27 opening-day instructions.
legacy_068_what_are_the_cia_exam_dates_for_first_year_b_tech_in_t,active,academics,What are the CIA exam dates for first-year B.Tech in the odd semester of 2026-27?,Academic Calendar 2026-27 — Thanjavur Campus (SASTRA official),https://www.sastra.edu/downloads/menu/Academics/2026-27/T_Calendar-2627U1.pdf,2026-07-28,Verified against the official 2026-27 academic calendar.
legacy_069_when_are_the_first_semester_lab_exams_and_end_semester,active,academics,When are the first-semester lab exams and end semester exams for first years?,Academic Calendar 2026-27 — Thanjavur Campus (SASTRA official),https://www.sastra.edu/downloads/menu/Academics/2026-27/T_Calendar-2627U1.pdf,2026-07-28,Verified against the official 2026-27 academic calendar.
legacy_070_what_are_the_exam_fee_remittance_dates_for_first_years,active,academics,What are the exam fee remittance dates for first years in the odd semester?,Academic Calendar 2026-27 — Thanjavur Campus (SASTRA official),https://www.sastra.edu/downloads/menu/Academics/2026-27/T_Calendar-2627U1.pdf,2026-07-28,Verified against the official 2026-27 academic calendar.
legacy_071_when_does_the_even_semester_start_for_the_2026_27_firs,active,academics,When does the even semester start for the 2026-27 first-year batch?,Academic Calendar 2026-27 — Thanjavur Campus (SASTRA official),https://www.sastra.edu/downloads/menu/Academics/2026-27/T_Calendar-2627U1.pdf,2026-07-28,Verified against the official 2026-27 academic calendar.
legacy_072_when_is_the_arrear_examination_held_after_the_first_ye,active,academics,When is the arrear examination held after the first year even semester?,Academic Calendar 2026-27 — Thanjavur Campus (SASTRA official),https://www.sastra.edu/downloads/menu/Academics/2026-27/T_Calendar-2627U1.pdf,2026-07-28,Verified against the official 2026-27 academic calendar.
legacy_073_what_are_the_holidays_in_the_2026_27_odd_semester,active,academics,What are the holidays in the 2026-27 odd semester?,Academic Calendar 2026-27 — Thanjavur Campus (SASTRA official),https://www.sastra.edu/downloads/menu/Academics/2026-27/T_Calendar-2627U1.pdf,2026-07-28,Verified against the official 2026-27 academic calendar.
legacy_074_what_are_the_holidays_in_the_2026_27_even_semester,active,academics,What are the holidays in the 2026-27 even semester?,Academic Calendar 2026-27 — Thanjavur Campus (SASTRA official),https://www.sastra.edu/downloads/menu/Academics/2026-27/T_Calendar-2627U1.pdf,2026-07-28,Verified against the official 2026-27 academic calendar.
legacy_075_when_are_daksh_kuruksastra_and_colosseum_scheduled_in_,active,campus,"When are Daksh, Kuruksastra and Colosseum scheduled in 2026-27?",Academic Calendar 2026-27 — Thanjavur Campus (SASTRA official),https://www.sastra.edu/downloads/menu/Academics/2026-27/T_Calendar-2627U1.pdf,2026-07-28,Verified against the official 2026-27 academic calendar.
legacy_076_why_do_we_have_classes_on_some_saturdays_and_how_does_,active,academics,"Why do we have classes on some Saturdays, and how does that work?",Academic Calendar 2026-27 — Thanjavur Campus (SASTRA official),https://www.sastra.edu/downloads/menu/Academics/2026-27/T_Calendar-2627U1.pdf,2026-07-28,Verified against the official 2026-27 academic calendar.
legacy_077_what_is_the_minimum_attendance_required_to_write_the_e,active,academics,What is the minimum attendance required to write the end semester examination?,"Examination Rules & Regulations (SASTRA official, effective 28 Jan 2026)",https://sastra.edu/downloads/menu/Parents/2026/ExaminationRegulations_2026.pdf,2026-07-28,Verified against the official 2026 examination regulations.
legacy_078_what_happens_if_my_attendance_falls_below_75_percent_u,active,academics,What happens if my attendance falls below 75 percent under the 2026 rules?,"Examination Rules & Regulations (SASTRA official, effective 28 Jan 2026)",https://sastra.edu/downloads/menu/Parents/2026/ExaminationRegulations_2026.pdf,2026-07-28,Verified against the official 2026 examination regulations.
legacy_079_what_happens_if_my_attendance_drops_below_60_percent_i,active,academics,What happens if my attendance drops below 60 percent in a course?,"Examination Rules & Regulations (SASTRA official, effective 28 Jan 2026)",https://sastra.edu/downloads/menu/Parents/2026/ExaminationRegulations_2026.pdf,2026-07-28,Verified against the official 2026 examination regulations.
legacy_080_does_poor_attendance_affect_my_hostel_accommodation,active,hostel,Does poor attendance affect my hostel accommodation?,"Examination Rules & Regulations (SASTRA official, effective 28 Jan 2026)",https://sastra.edu/downloads/menu/Parents/2026/ExaminationRegulations_2026.pdf,2026-07-28,Verified against the official 2026 examination regulations.
legacy_081_how_are_marks_split_between_internal_assessment_and_th,active,academics,How are marks split between internal assessment and the end semester exam?,"Examination Rules & Regulations (SASTRA official, effective 28 Jan 2026)",https://sastra.edu/downloads/menu/Parents/2026/ExaminationRegulations_2026.pdf,2026-07-28,Verified against the official 2026 examination regulations.
legacy_082_how_is_my_result_classified_at_the_end_of_the_programm,active,academics,How is my result classified at the end of the programme?,"Examination Rules & Regulations (SASTRA official, effective 28 Jan 2026)",https://sastra.edu/downloads/menu/Parents/2026/ExaminationRegulations_2026.pdf,2026-07-28,Verified against the official 2026 examination regulations.
legacy_083_what_is_the_honours_degree_option_and_who_is_eligible,active,general,What is the Honours degree option and who is eligible?,"Examination Rules & Regulations (SASTRA official, effective 28 Jan 2026)",https://sastra.edu/downloads/menu/Parents/2026/ExaminationRegulations_2026.pdf,2026-07-28,Verified against the official 2026 examination regulations.
legacy_084_what_is_acrs_and_how_does_it_differ_from_honours,active,academics,What is ACRS and how does it differ from Honours?,"Examination Rules & Regulations (SASTRA official, effective 28 Jan 2026)",https://sastra.edu/downloads/menu/Parents/2026/ExaminationRegulations_2026.pdf,2026-07-28,Verified against the official 2026 examination regulations.
legacy_085_how_and_when_can_i_apply_for_revaluation_of_my_answer_,active,general,How and when can I apply for revaluation of my answer script?,"Examination Rules & Regulations (SASTRA official, effective 28 Jan 2026)",https://sastra.edu/downloads/menu/Parents/2026/ExaminationRegulations_2026.pdf,2026-07-28,Verified against the official 2026 examination regulations.
legacy_086_can_i_see_a_copy_of_my_answer_book_after_results,active,general,Can I see a copy of my answer book after results?,"Examination Rules & Regulations (SASTRA official, effective 28 Jan 2026)",https://sastra.edu/downloads/menu/Parents/2026/ExaminationRegulations_2026.pdf,2026-07-28,Verified against the official 2026 examination regulations.
legacy_087_how_do_i_download_my_admit_card_for_the_university_exa,active,academics,How do I download my admit card for the university examinations?,"Examination Rules & Regulations (SASTRA official, effective 28 Jan 2026)",https://sastra.edu/downloads/menu/Parents/2026/ExaminationRegulations_2026.pdf,2026-07-28,Verified against the official 2026 examination regulations.
legacy_088_what_counts_as_malpractice_in_a_sastra_examination,active,academics,What counts as malpractice in a SASTRA examination?,"Examination Rules & Regulations (SASTRA official, effective 28 Jan 2026)",https://sastra.edu/downloads/menu/Parents/2026/ExaminationRegulations_2026.pdf,2026-07-28,Verified against the official 2026 examination regulations.
legacy_089_what_are_the_consequences_of_being_caught_in_malpracti,active,academics,What are the consequences of being caught in malpractice?,"Examination Rules & Regulations (SASTRA official, effective 28 Jan 2026)",https://sastra.edu/downloads/menu/Parents/2026/ExaminationRegulations_2026.pdf,2026-07-28,Verified against the official 2026 examination regulations.
legacy_090_what_is_treated_as_misconduct_or_impersonation_in_exam,active,academics,What is treated as misconduct or impersonation in examinations?,"Examination Rules & Regulations (SASTRA official, effective 28 Jan 2026)",https://sastra.edu/downloads/menu/Parents/2026/ExaminationRegulations_2026.pdf,2026-07-28,Verified against the official 2026 examination regulations.
legacy_091_what_does_my_university_register_number_mean,active,general,What does my university register number mean?,"Examination Rules & Regulations (SASTRA official, effective 28 Jan 2026)",https://sastra.edu/downloads/menu/Parents/2026/ExaminationRegulations_2026.pdf,2026-07-28,Verified against the official 2026 examination regulations.
legacy_092_how_long_do_i_have_to_complete_my_degree_if_i_have_arr,active,general,How long do I have to complete my degree if I have arrears?,"Examination Rules & Regulations (SASTRA official, effective 28 Jan 2026)",https://sastra.edu/downloads/menu/Parents/2026/ExaminationRegulations_2026.pdf,2026-07-28,Verified against the official 2026 examination regulations.
legacy_093_what_is_the_academic_rehabilitation_programme,active,academics,What is the Academic Rehabilitation Programme?,"Examination Rules & Regulations (SASTRA official, effective 28 Jan 2026)",https://sastra.edu/downloads/menu/Parents/2026/ExaminationRegulations_2026.pdf,2026-07-28,Verified against the official 2026 examination regulations.
legacy_094_what_happens_if_i_miss_the_biometric_roll_call,active,hostel,What happens if I miss the biometric roll call?,"Rules and Regulations for Inmates of Students’ Home (SASTRA official, effective 01 Jul 2026)",https://www.sastra.edu/downloads/news/2026/june/Hostel_Rules_Regulations_2026-27.pdf,2026-07-28,Verified against the official 2026-27 hostel rules.
legacy_095_how_often_can_a_first_year_student_go_home_on_weekends,active,hostel,How often can a first-year student go home on weekends in 2026-27?,"Rules and Regulations for Inmates of Students’ Home (SASTRA official, effective 01 Jul 2026)",https://www.sastra.edu/downloads/news/2026/june/Hostel_Rules_Regulations_2026-27.pdf,2026-07-28,Verified against the official 2026-27 hostel rules.
legacy_096_can_i_stay_with_my_parents_when_they_visit_during_a_we,active,hostel,Can I stay with my parents when they visit during a weekend?,"Rules and Regulations for Inmates of Students’ Home (SASTRA official, effective 01 Jul 2026)",https://www.sastra.edu/downloads/news/2026/june/Hostel_Rules_Regulations_2026-27.pdf,2026-07-28,Verified against the official 2026-27 hostel rules.
legacy_097_can_friends_from_another_hostel_or_day_scholars_visit_,active,hostel,Can friends from another hostel or day scholars visit my room?,"Rules and Regulations for Inmates of Students’ Home (SASTRA official, effective 01 Jul 2026)",https://www.sastra.edu/downloads/news/2026/june/Hostel_Rules_Regulations_2026-27.pdf,2026-07-28,Verified against the official 2026-27 hostel rules.
legacy_098_are_iron_boxes_kettles_and_other_electrical_appliances,active,hostel,"Are iron boxes, kettles and other electrical appliances allowed in the hostel?","Rules and Regulations for Inmates of Students’ Home (SASTRA official, effective 01 Jul 2026)",https://www.sastra.edu/downloads/news/2026/june/Hostel_Rules_Regulations_2026-27.pdf,2026-07-28,Verified against the official 2026-27 hostel rules.
legacy_099_how_are_mess_dues_paid_and_what_happens_if_i_pay_late,active,hostel,How are mess dues paid and what happens if I pay late?,"Rules and Regulations for Inmates of Students’ Home (SASTRA official, effective 01 Jul 2026)",https://www.sastra.edu/downloads/news/2026/june/Hostel_Rules_Regulations_2026-27.pdf,2026-07-28,Verified against the official 2026-27 hostel rules.
legacy_100_what_is_the_caution_deposit_and_how_do_i_get_it_refund,active,hostel,What is the caution deposit and how do I get it refunded?,"Rules and Regulations for Inmates of Students’ Home (SASTRA official, effective 01 Jul 2026)",https://www.sastra.edu/downloads/news/2026/june/Hostel_Rules_Regulations_2026-27.pdf,2026-07-28,Verified against the official 2026-27 hostel rules.
legacy_101_do_i_need_to_carry_my_id_card_inside_the_hostel,active,hostel,Do I need to carry my ID card inside the hostel?,"Rules and Regulations for Inmates of Students’ Home (SASTRA official, effective 01 Jul 2026)",https://www.sastra.edu/downloads/news/2026/june/Hostel_Rules_Regulations_2026-27.pdf,2026-07-28,Verified against the official 2026-27 hostel rules.
legacy_102_what_are_the_wi_fi_rules_in_the_hostel,active,hostel,What are the Wi-Fi rules in the hostel?,"Rules and Regulations for Inmates of Students’ Home (SASTRA official, effective 01 Jul 2026)",https://www.sastra.edu/downloads/news/2026/june/Hostel_Rules_Regulations_2026-27.pdf,2026-07-28,Verified against the official 2026-27 hostel rules.
legacy_103_can_i_use_my_laptop_and_mobile_phone_freely_on_campus,active,hostel,Can I use my laptop and mobile phone freely on campus?,"Rules and Regulations for Inmates of Students’ Home (SASTRA official, effective 01 Jul 2026)",https://www.sastra.edu/downloads/news/2026/june/Hostel_Rules_Regulations_2026-27.pdf,2026-07-28,Verified against the official 2026-27 hostel rules.
legacy_104_what_is_the_policy_on_smoking_alcohol_and_drugs_at_sas,active,hostel,"What is the policy on smoking, alcohol and drugs at SASTRA?","Rules and Regulations for Inmates of Students’ Home (SASTRA official, effective 01 Jul 2026)",https://www.sastra.edu/downloads/news/2026/june/Hostel_Rules_Regulations_2026-27.pdf,2026-07-28,Verified against the official 2026-27 hostel rules.
legacy_105_what_is_the_anti_ragging_position_under_the_2026_27_ho,active,hostel,What is the anti-ragging position under the 2026-27 hostel rules?,"Rules and Regulations for Inmates of Students’ Home (SASTRA official, effective 01 Jul 2026)",https://www.sastra.edu/downloads/news/2026/june/Hostel_Rules_Regulations_2026-27.pdf,2026-07-28,Verified against the official 2026-27 hostel rules.
legacy_106_where_do_i_go_if_i_fall_sick_in_the_hostel,active,hostel,Where do I go if I fall sick in the hostel?,"Rules and Regulations for Inmates of Students’ Home (SASTRA official, effective 01 Jul 2026)",https://www.sastra.edu/downloads/news/2026/june/Hostel_Rules_Regulations_2026-27.pdf,2026-07-28,Verified against the official 2026-27 hostel rules.
